# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: /home/luotian2/Desktop/ece385/ECE385_SP2020/lab6/lab6.csv
# Generated on: Wed Feb 26 19:38:30 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
FL_ADDR[11],Unknown,,,,,,,,,,
FL_ADDR[10],Unknown,,,,,,,,,,
FL_ADDR[9],Unknown,,,,,,,,,,
FL_ADDR[8],Unknown,,,,,,,,,,
FL_ADDR[7],Unknown,,,,,,,,,,
FL_ADDR[6],Unknown,,,,,,,,,,
FL_ADDR[5],Unknown,,,,,,,,,,
FL_ADDR[4],Unknown,,,,,,,,,,
FL_ADDR[3],Unknown,,,,,,,,,,
FL_ADDR[2],Unknown,,,,,,,,,,
FL_ADDR[1],Unknown,,,,,,,,,,
FL_CE_N,Unknown,,,,,,,,,,
FL_OE_N,Unknown,,,,,,,,,,
FL_WE_N,Unknown,,,,,,,,,,
FL_RESET_N,Unknown,,,,,,,,,,
FL_WP_N,Unknown,,,,,,,,,,
FL_RY,Unknown,,,,,,,,,,
GPIO[0],Unknown,,,,,,,,,,
GPIO[1],Unknown,,,,,,,,,,
GPIO[2],Unknown,,,,,,,,,,
GPIO[3],Unknown,,,,,,,,,,
GPIO[4],Unknown,,,,,,,,,,
GPIO[5],Unknown,,,,,,,,,,
GPIO[6],Unknown,,,,,,,,,,
GPIO[7],Unknown,,,,,,,,,,
GPIO[8],Unknown,,,,,,,,,,
GPIO[9],Unknown,,,,,,,,,,
GPIO[10],Unknown,,,,,,,,,,
GPIO[11],Unknown,,,,,,,,,,
GPIO[12],Unknown,,,,,,,,,,
GPIO[13],Unknown,,,,,,,,,,
GPIO[14],Unknown,,,,,,,,,,
GPIO[15],Unknown,,,,,,,,,,
GPIO[16],Unknown,,,,,,,,,,
GPIO[17],Unknown,,,,,,,,,,
GPIO[18],Unknown,,,,,,,,,,
GPIO[19],Unknown,,,,,,,,,,
GPIO[20],Unknown,,,,,,,,,,
GPIO[21],Unknown,,,,,,,,,,
GPIO[22],Unknown,,,,,,,,,,
GPIO[23],Unknown,,,,,,,,,,
GPIO[24],Unknown,,,,,,,,,,
GPIO[25],Unknown,,,,,,,,,,
GPIO[26],Unknown,,,,,,,,,,
GPIO[27],Unknown,,,,,,,,,,
GPIO[28],Unknown,,,,,,,,,,
GPIO[29],Unknown,,,,,,,,,,
GPIO[30],Unknown,,,,,,,,,,
GPIO[31],Unknown,,,,,,,,,,
GPIO[32],Unknown,,,,,,,,,,
GPIO[33],Unknown,,,,,,,,,,
GPIO[34],Unknown,,,,,,,,,,
GPIO[35],Unknown,,,,,,,,,,
HSMC_CLKIN_P1,Unknown,,,,,,,,,,
HSMC_CLKIN_N1,Unknown,,,,,,,,,,
HSMC_CLKIN_P2,Unknown,,,,,,,,,,
HSMC_CLKIN_N2,Unknown,,,,,,,,,,
HSMC_TX_D_P[0],Unknown,,,,,,,,,,
HSMC_TX_D_N[0],Unknown,,,,,,,,,,
HSMC_RX_D_P[0],Unknown,,,,,,,,,,
HSMC_RX_D_N[0],Unknown,,,,,,,,,,
HSMC_TX_D_P[1],Unknown,,,,,,,,,,
HSMC_RX_D_N[1],Unknown,,,,,,,,,,
HSMC_TX_D_N[1],Unknown,,,,,,,,,,
HSMC_RX_D_P[1],Unknown,,,,,,,,,,
HSMC_TX_D_P[2],Unknown,,,,,,,,,,
HSMC_TX_D_N[2],Unknown,,,,,,,,,,
HSMC_RX_D_P[2],Unknown,,,,,,,,,,
HSMC_RX_D_N[2],Unknown,,,,,,,,,,
HSMC_TX_D_P[3],Unknown,,,,,,,,,,
HSMC_TX_D_N[3],Unknown,,,,,,,,,,
HSMC_RX_D_P[3],Unknown,,,,,,,,,,
HSMC_RX_D_N[3],Unknown,,,,,,,,,,
HSMC_TX_D_P[4],Unknown,,,,,,,,,,
HSMC_TX_D_N[4],Unknown,,,,,,,,,,
HSMC_RX_D_P[4],Unknown,,,,,,,,,,
HSMC_RX_D_N[4],Unknown,,,,,,,,,,
HSMC_TX_D_P[5],Unknown,,,,,,,,,,
HSMC_TX_D_N[5],Unknown,,,,,,,,,,
HSMC_RX_D_P[5],Unknown,,,,,,,,,,
HSMC_RX_D_N[5],Unknown,,,,,,,,,,
HSMC_TX_D_P[6],Unknown,,,,,,,,,,
HSMC_TX_D_N[6],Unknown,,,,,,,,,,
HSMC_RX_D_P[6],Unknown,,,,,,,,,,
HSMC_RX_D_N[6],Unknown,,,,,,,,,,
HSMC_TX_D_P[7],Unknown,,,,,,,,,,
HSMC_TX_D_N[7],Unknown,,,,,,,,,,
HSMC_RX_D_P[7],Unknown,,,,,,,,,,
HSMC_RX_D_N[7],Unknown,,,,,,,,,,
HSMC_TX_D_P[8],Unknown,,,,,,,,,,
HSMC_TX_D_N[8],Unknown,,,,,,,,,,
HSMC_RX_D_P[8],Unknown,,,,,,,,,,
HSMC_RX_D_N[8],Unknown,,,,,,,,,,
HSMC_TX_D_P[9],Unknown,,,,,,,,,,
HSMC_TX_D_N[9],Unknown,,,,,,,,,,
HSMC_RX_D_P[9],Unknown,,,,,,,,,,
HSMC_RX_D_N[9],Unknown,,,,,,,,,,
HSMC_TX_D_P[10],Unknown,,,,,,,,,,
HSMC_TX_D_N[10],Unknown,,,,,,,,,,
HSMC_RX_D_P[10],Unknown,,,,,,,,,,
HSMC_RX_D_N[10],Unknown,,,,,,,,,,
HSMC_TX_D_P[11],Unknown,,,,,,,,,,
HSMC_TX_D_N[11],Unknown,,,,,,,,,,
HSMC_RX_D_P[11],Unknown,,,,,,,,,,
HSMC_RX_D_N[11],Unknown,,,,,,,,,,
HSMC_TX_D_P[12],Unknown,,,,,,,,,,
HSMC_TX_D_N[12],Unknown,,,,,,,,,,
HSMC_RX_D_P[12],Unknown,,,,,,,,,,
HSMC_RX_D_N[12],Unknown,,,,,,,,,,
HSMC_TX_D_P[13],Unknown,,,,,,,,,,
HSMC_TX_D_N[13],Unknown,,,,,,,,,,
HSMC_RX_D_P[13],Unknown,,,,,,,,,,
HSMC_RX_D_N[13],Unknown,,,,,,,,,,
HSMC_TX_D_P[14],Unknown,,,,,,,,,,
HSMC_TX_D_N[14],Unknown,,,,,,,,,,
HSMC_RX_D_P[14],Unknown,,,,,,,,,,
HSMC_RX_D_N[14],Unknown,,,,,,,,,,
HSMC_TX_D_P[15],Unknown,,,,,,,,,,
HSMC_TX_D_N[15],Unknown,,,,,,,,,,
HSMC_RX_D_P[15],Unknown,,,,,,,,,,
HSMC_RX_D_N[15],Unknown,,,,,,,,,,
HSMC_TX_D_P[16],Unknown,,,,,,,,,,
HSMC_TX_D_N[16],Unknown,,,,,,,,,,
HSMC_RX_D_P[16],Unknown,,,,,,,,,,
HSMC_RX_D_N[16],Unknown,,,,,,,,,,
HSMC_CLKOUT_P2,Unknown,,,,,,,,,,
HSMC_CLKOUT_N2,Unknown,,,,,,,,,,
HSMC_CLKOUT_P1,Unknown,,,,,,,,,,
HSMC_CLKOUT_N1,Unknown,,,,,,,,,,
HSMC_CLKOUT0,Unknown,,,,,,,,,,
HSMC_D[0],Unknown,,,,,,,,,,
HSMC_D[1],Unknown,,,,,,,,,,
HSMC_D[2],Unknown,,,,,,,,,,
HSMC_D[3],Unknown,,,,,,,,,,
HSMC_CLKIN0,Unknown,,,,,,,,,,
EXT_IO[0],Unknown,,,,,,,,,,
EXT_IO[1],Unknown,,,,,,,,,,
EXT_IO[2],Unknown,,,,,,,,,,
EXT_IO[3],Unknown,,,,,,,,,,
EXT_IO[4],Unknown,,,,,,,,,,
EXT_IO[5],Unknown,,,,,,,,,,
EXT_IO[6],Unknown,,,,,,,,,,
